time,open,high,low,close
1554903000,287.77,288.3899,287.31,288.29
1554989400,288.83,288.84,287.578,288.21
1555075800,290,290.47,288.261,290.16
1555335000,290.24,290.35,289.075,289.97
1555421400,290.95,291.01,289.5,290.16
1555507800,291.4,291.425,288.99,289.45
1555594200,290.1,290.32,288.66,290.02
1555939800,289.17,290.435,289.07,290.27
1556026200,290.68,293.14,290.42,292.88
1556112600,292.79,293.16,292.07,292.23
1556199000,292.12,292.78,290.73,292.05
1556285400,292.1,293.49,291.2401,293.41
1556544600,293.51,294.45,293.41,293.87
1556631000,293.49,294.34,291.92,294.02
1556717400,294.72,294.95,291.8,291.81
1556803800,291.68,292.7,289.52,291.18
1556890200,292.82,294.34,291.2998,294.03
1557149400,289.25,293.31,288.9,292.82
1557235800,290.15,290.81,285.81,287.93
1557322200,287.53,289.43,286.87,287.53
1557408600,285.23,287.33,283.3,286.66
1557495000,285.62,288.94,282.3,288.1
1557754200,282.42,283.49,279.93,280.86
1557840600,281.99,285.1,281.85,283.4
1557927000,281.59,285.77,281.36,285.06
1558013400,285.84,289.21,285.76,287.7
1558099800,285.14,288.6,285.1207,285.84
1558359000,284.06,285.43,283.12,283.95
1558445400,285.83,286.93,285.55,286.51
1558531800,285.45,286.69,285.1,285.63
1558618200,283.16,283.21,280.57,282.14
1558704600,283.74,284.2,282.09,282.78
1559050200,283.09,284.15,280.13,280.15
1559136600,278.91,279.36,276.71,278.27
1559223000,279.11,280.04,277.805,279.03
1559309400,276.2,277.12,275.24,275.27
1559568600,275.31,276.5521,273.09,274.57
1559655000,277.12,280.68,276.62,280.53
1559741400,282.33,282.99,280.32,282.96
1559827800,283.29,285.55,282.57,284.8
1559914200,285.93,288.85,285.74,287.65
1560173400,289.37,290.82,288.8734,288.97
1560259800,290.99,291.4,288.1805,288.9
1560346200,288.64,289.26,287.815,288.39
1560432600,289.4,289.98,288.62,289.58
1560519000,289.26,289.93,288.41,289.26
1560778200,289.52,290.22,289.18,289.37
1560864600,291.39,293.57,290.99,292.4
1560951000,292.55,293.65,291.47,293.06
1561037400,296.04,296.3093,293.1255,295.86
1561123800,294.13,295.52,293.76,294
1561383000,294.23,294.58,293.47,293.64
1561469400,293.7,293.73,290.64,290.76
1561555800,291.75,292.31,290.345,290.47
1561642200,291.31,292.06,290.89,291.5
1561728600,292.58,293.55,292.01,293
1561987800,296.68,296.92,294.33,295.66
1562074200,295.61,296.49,294.68,296.43
1562160600,297.18,298.82,297.02,298.8
1562333400,297.44,298.64,296.01,298.46
1562592600,297.01,298.2579,296.22,296.82
1562679000,295.54,297.52,295.48,297.19
1562765400,298.37,299.66,297.78,298.61
1562851800,299.32,299.58,298.2,299.31
1562938200,299.85,300.73,299.51,300.65
1563197400,301.13,301.13,300.19,300.75
1563283800,300.65,300.88,299.44,299.71
1563370200,299.75,299.93,297.74,297.74
1563456600,297.19,299.25,296.7,298.83
1563543000,300.04,300.07,296.96,297.17
1563802200,297.61,298.5,297.04,297.9
1563888600,299.14,300.03,298.22,300.03
1563975000,299.19,301.44,299.09,301.44
1564061400,300.94,301,299.11,300
1564147800,300.76,302.23,300.62,302.01
1564407000,301.88,301.93,300.85,301.46
1564493400,299.91,301.17,299.49,300.72
1564579800,300.99,301.2,295.2,297.43
1564666200,297.6,300.87,293.96,294.84
1564752600,293.85,294.12,290.9,292.62
1565011800,288.09,288.21,281.72,283.82
1565098200,285.91,288.04,284.28,287.8
1565184600,284.4,288.82,282.04,287.97
1565271000,289.62,293.62,289.01,293.62
1565357400,292.58,293.24,289.65,291.62
1565616600,289.96,291.6052,287.02,288.07
1565703000,287.74,294.15,287.36,292.55
1565789400,288.07,288.74,283.76,283.9
1565875800,284.88,285.64,282.39,284.65
1565962200,286.48,289.33,284.7138,288.85
1566221400,292.19,293.08,291.44,292.33
1566307800,291.77,292.36,289.95,290.09
1566394200,292.48,292.86,291.72,292.45
1566480600,293.23,293.93,290.4,292.36
1566567000,290.92,292.76,283.47,284.85
1566826200,287.27,288,285.58,288
1566912600,289.54,289.95,286.03,286.87
1566999000,286.14,289.07,285.25,288.89
1567085400,291.72,293.16,290.61,292.58
1567171800,294.22,294.2399,291.42,292.45
1567517400,290.57,291.58,289.27,290.74
1567603800,293.14,294.055,292.31,294.04
1567690200,296.79,298.83,296.64,297.82
1567776600,298.17,298.76,297.42,298.05
1568035800,299.14,299.24,297.16,298.2
1568122200,297.36,298.2,295.97,298.13
1568208600,298.47,300.34,297.75,300.25
1568295000,301.25,302.46,300.41,301.29
1568381400,301.78,302.17,300.68,301.09
1568640600,299.84,301.1378,299.45,300.16
1568727000,299.94,301.02,299.75,300.92
1568813400,300.49,301.22,298.24,301.1
1568899800,301.53,302.63,300.7103,301.08
1568986200,300.36,300.67,297.41,298.28
1569245400,297.55,299,297.27,298.21
1569331800,299.41,299.84,294.81,295.87
1569418200,295.96,298.11,294.33,297.62
1569504600,297.63,297.86,295.45,297
1569591000,297.83,297.9465,293.69,295.4
1569850200,295.97,297.55,295.92,296.77
1569936600,297.74,298.455,293,293.24
1570023000,291.5,291.51,286.64,288.06
1570109400,287.81,290.45,284.82,290.42
1570195800,291.14,294.63,290.82,294.35
1570455000,293.47,295.26,292.77,293.08
1570541400,291.04,291.85,288.49,288.53
1570627800,290.75,292.3,288.6559,291.27
1570714200,291.18,294.21,291,293.24
1570800600,296.27,298.74,296.1448,296.28
1571059800,295.93,296.67,295.57,295.95
1571146200,297.1,299.7,296.97,298.88
1571232600,298.37,299.16,297.92,298.4
1571319000,299.68,300.24,298.515,299.28
1571405400,298.69,299.395,296.99,297.97
1571664600,299.42,300.21,298.935,299.99
1571751000,300.58,300.9,298.91,299.01
1571837400,298.73,299.94,298.495,299.88
1571923800,300.91,301.07,299.4601,300.37
1572010200,299.74,302.2,299.6806,301.6
1572269400,302.94,303.85,302.91,303.3
1572355800,303,304.23,302.86,303.21
1572442200,303.43,304.55,301.99,304.14
1572528600,304.13,304.13,301.73,303.33
1572615000,304.92,306.19,304.74,306.14
1572877800,307.85,308,306.96,307.37
1572964200,307.59,307.9195,306.71,307.03
1573050600,307.03,307.4,306.06,307.1
1573137000,308.57,309.65,307.66,308.18
1573223400,307.8,309.0036,307.03,308.94
1573482600,307.42,308.54,307.27,308.35
1573569000,308.75,309.99,308.15,309
1573655400,307.91,309.54,307.66,309.1
1573741800,308.79,309.64,308.09,309.55
1573828200,311.02,311.84,310.26,311.79
1574087400,311.53,312.28,311.03,312.02
1574173800,312.68,312.69,311.22,311.93
1574260200,311.28,311.85,309.06,310.77
1574346600,310.89,311.01,309.39,310.27
