time,open,high,low,close,Volume,Volume MA
1163082600,2.961068,3.02464,2.932854,2.976426,923229464,643574233.8
1163169000,2.983926,2.985712,2.946426,2.968568,373952524,628060664.2
1163428200,2.97214,3.016068,2.951426,3.012497,450867592,625156700
1163514600,3.028568,3.035711,2.996425,3.035711,589011724,630553313.4
1163601000,3.037675,3.067854,2.999997,3.001783,658170448,606196335.4
1163687400,3.031068,3.08214,3.02214,3.057497,694144884,565069289.4
1163773800,3.04089,3.069283,3.035711,3.066069,466490740,556408946.6
1164033000,3.049997,3.10714,3.042854,3.088211,570813496,543317365.4
1164119400,3.12214,3.164283,3.111068,3.164283,622896684,551298777.6
1164205800,3.178211,3.241068,3.137497,3.225354,672206304,560644358.2
1164378600,3.197497,3.324282,3.196425,3.272497,518952068,564948519.6
1164637800,3.303568,3.327104,3.196425,3.197854,1075181360,588959350
1164724200,3.227319,3.28464,3.211068,3.278925,1036957964,615809809
1164810600,3.321425,3.326782,3.223211,3.278568,1157258628,648591009.8
1164897000,3.29339,3.309996,3.25214,3.273568,870597476,661509393.8
1164983400,3.278568,3.297497,3.217854,3.261426,795480344,678007036.8
1165242600,3.281425,3.287497,3.23214,3.254282,709867908,691904202.6
1165329000,3.27339,3.297497,3.245354,3.25964,663059924,703321712.4
1165415400,3.237318,3.263925,3.202497,3.208211,638348220,708940018.8
1165501800,3.201782,3.23214,3.103568,3.108568,1005095724,724629173.8
1165588200,3.115354,3.192497,3.10714,3.152139,784596624,717697531.8
1165847400,3.174996,3.189283,3.14464,3.16964,500420980,724020954.6
1165933800,3.16464,3.172854,3.05464,3.076425,1034515912,753203370.6
1166020200,3.140533,3.181069,3.112497,3.180354,857138648,766609716.8
1166106600,3.180354,3.214283,3.152139,3.162497,832927360,775347562.4
1166193000,3.179283,3.186425,3.118925,3.132854,740029092,777641772.8
1166452200,3.129461,3.142854,3.021068,3.052497,722101008,790422286.2
1166538600,3.026068,3.095711,2.986426,3.082497,911541580,807458690.4
