time,open,high,low,close,Volume
1635523200,148.32,149.22,148.29,148.96,202441
1635524100,148.98,149.36,148.93,149.36,110974
1635525000,149.35,149.5,149.2,149.4,171393
1635525900,149.41,149.47,149.02,149.37,181020
1635526800,149.38,149.5,149.215,149.37,103240
1635527700,149.39,149.5,149.025,149.11,118562
1635528600,149.12,149.12,148.73,148.75,99744
1635529500,148.76,148.84,148.62,148.68,92716
1635530400,148.65,149.23,148.55,149.12,132379
1635531300,149.11,149.175,148.895,148.94,99816
1635532200,148.98,149.3,148.84,149.22,159343
1635533100,149.22,149.24,149.05,149.14,69985
1635534000,149.16,149.27,148.985,149.155,163250
1635534900,149.17,149.64,149.12,149.5,338173
1635535800,149.49,149.745,149.4,149.5,302499
1635536700,149.48,149.935,149.385,149.76,562548
1635537600,149.79,149.8,149.75,149.8,1300
1635538500,149.8,149.8,149.8,149.8,300
1635542100,149.82,149.89,149.82,149.89,2337
1635543000,149.91,149.91,149.91,149.91,100
1635551100,149.92,149.92,149.92,149.92,100
1635766200,149.67,149.67,149.67,149.67,145
1635767100,149.65,149.65,149.65,149.65,100
1635768000,149.6,149.6,149.6,149.6,100
1635769800,149.48,149.48,149.48,149.48,100
1635770700,149.46,149.48,149.46,149.48,500
1635771600,149.38,149.38,149.31,149.34,900
1635772500,149.11,149.11,148.85,149.1,2764
1635773400,148.985,149.69,148.56,148.76,451295
1635774300,148.73,148.73,148.1,148.24,273116
1635775200,148.24,148.69,147.81,148.56,223384
1635776100,148.58,148.86,148.45,148.78,114139
1635777000,148.79,148.85,148.37,148.46,81852
1635777900,148.48,148.71,148.31,148.35,98796
1635778800,148.34,148.74,148.26,148.62,52085
1635779700,148.64,148.95,148.61,148.84,62538
1635780600,148.84,149.035,148.64,148.71,67114
1635781500,148.71,148.94,148.64,148.89,57876
1635782400,148.905,149.02,148.76,148.78,70080
1635783300,148.78,148.85,148.665,148.79,57411
1635784200,148.78,148.89,148.7,148.74,73380
1635785100,148.74,149.02,148.67,148.95,77196
1635786000,148.94,148.99,148.805,148.92,29086
1635786900,148.93,149.02,148.78,148.82,34279
1635787800,148.8,148.82,148.62,148.67,69813
1635788700,148.68,148.765,148.52,148.57,51669
1635789600,148.56,148.69,148.47,148.49,71486
1635790500,148.49,148.57,148.38,148.38,64500
1635791400,148.38,148.48,148.28,148.43,61620
1635792300,148.42,148.54,148.27,148.35,59890
1635793200,148.34,148.5,148.32,148.4,55242
1635794100,148.4,148.96,148.36,148.78,99970
1635795000,148.78,148.975,148.69,148.87,89715
1635795900,148.87,149.01,148.53,148.97,402705
1635796800,148.79,148.81,148.79,148.8,600
1635797700,148.82,148.82,148.66,148.66,1130
1635798600,148.71,148.71,148.71,148.71,100
1635800400,148.69,148.69,148.69,148.69,100
1635804000,148.6,148.6,148.6,148.6,200
1635856200,148.68,148.68,148.68,148.68,580
1635858900,148.62,148.69,148.62,148.69,1050
1635859800,148.69,150.48,148.69,150.14,337747
1635860700,150.145,150.32,149.73,149.91,224764
1635861600,149.94,149.97,149.35,149.52,157439
1635862500,149.52,150.08,149.47,150.08,104542
1635863400,150.1,150.87,150.09,150.72,152698
1635864300,150.76,150.91,150.43,150.87,153835
1635865200,150.87,150.91,150.62,150.81,94310
1635866100,150.81,151.21,150.72,151.15,114817
1635867000,151.14,151.47,151.03,151.46,199922
1635867900,151.48,151.57,150.9,150.94,147118
1635868800,150.94,151.02,150.59,150.89,72500
1635869700,150.89,151.06,150.74,151.01,46164
1635870600,151.01,151.24,150.86,151.18,76218
1635871500,151.18,151.47,151.17,151.4,93815
1635872400,151.41,151.47,151.24,151.35,60044
1635873300,151.35,151.4,150.99,151.04,72647
1635874200,151.03,151.06,150.87,151.02,71360
1635875100,151.03,151.12,150.9,150.95,78918
1635876000,150.96,150.99,150.56,150.67,82333
1635876900,150.68,150.74,150.44,150.51,50588
1635877800,150.51,150.57,150.24,150.24,69389
1635878700,150.245,150.42,150.09,150.36,100638
1635879600,150.36,150.435,150.19,150.21,50415
1635880500,150.24,150.35,150.115,150.28,66699
1635881400,150.26,150.4,150.09,150.39,80399
1635882300,150.38,150.42,149.82,150.01,451581
1635883200,150.02,150.02,150.02,150.02,500
1635884100,149.97,149.97,149.97,149.97,100
1635885000,149.9,149.9,149.85,149.9,300
1635944400,150.5,150.5,150.5,150.5,400
1635945300,150.5,150.5,150.5,150.5,200
1635946200,150.39,150.96,149.82,150.71,221066
1635947100,150.72,150.95,150.44,150.72,102791
1635948000,150.73,150.79,150.38,150.55,71006
1635948900,150.54,150.82,150.51,150.62,62399
1635949800,150.61,150.63,150.28,150.38,50618
1635950700,150.37,150.5,150.13,150.25,81219
1635951600,150.27,150.52,150.17,150.5,59833
1635952500,150.5,150.55,150.31,150.35,53822
1635953400,150.37,150.51,150.28,150.51,49437
1635954300,150.525,150.57,150.46,150.51,45490
1635955200,150.51,150.6,150.435,150.54,43165
1635956100,150.53,150.62,150.53,150.56,43708
1635957000,150.58,150.7,150.535,150.64,41322
1635957900,150.66,150.68,150.36,150.36,39227
1635958800,150.37,150.4,150.24,150.31,27819
1635959700,150.32,150.37,150.25,150.31,21031
1635960600,150.32,150.44,150.31,150.4,27796
1635961500,150.39,150.39,150.2,150.36,46442
1635962400,150.35,150.99,150.23,150.48,212339
1635963300,150.5,150.87,150.41,150.83,52497
1635964200,150.86,151.06,150.62,151.02,115513
1635965100,151.03,151.4,151.03,151.22,161638
1635966000,151.23,151.32,151.04,151.26,115992
1635966900,151.27,151.49,151.22,151.49,93113
1635967800,151.495,151.755,151.38,151.7,142937
1635968700,151.71,151.97,151.41,151.49,407667
1635969600,151.49,151.49,151.49,151.49,174
1635970500,151.46,151.46,151.46,151.46,100
1636024500,151.78,151.8,151.78,151.8,300
1636027200,151.86,151.86,151.86,151.86,175
1636029000,151.74,151.74,151.74,151.74,100
1636029900,151.7,151.8,151.7,151.77,875
1636030800,151.72,151.74,151.675,151.675,888
1636032600,151.63,152.3,151.29,152.11,333952
1636033500,152.12,152.42,152,152.1,179324
1636034400,152.08,152.1,151.56,151.85,133065
1636035300,151.85,151.98,151.66,151.74,95864
1636036200,151.75,151.95,151.58,151.73,101162
1636037100,151.75,151.98,151.7,151.92,90906
1636038000,151.92,151.95,151.46,151.5,104588
1636038900,151.475,151.48,150.85,151.11,127534
1636039800,151.1,151.25,151.03,151.19,68132
1636040700,151.18,151.42,151.18,151.37,101041
1636041600,151.37,151.58,151.29,151.58,60084
1636042500,151.57,151.66,151.23,151.32,70974
1636043400,151.31,151.41,151.23,151.3,47737
1636044300,151.29,151.32,151.15,151.19,55134
1636045200,151.22,151.23,151.05,151.23,72754
1636046100,151.23,151.26,151.03,151.21,72469
1636047000,151.21,151.46,151.18,151.45,67469
1636047900,151.45,151.56,151.4,151.52,86596
1636048800,151.52,151.54,151.19,151.36,73864
1636049700,151.34,151.37,151.13,151.15,70788
1636050600,151.14,151.35,151.12,151.23,58865
1636051500,151.235,151.35,151.16,151.18,60652
1636052400,151.19,151.44,151.14,151.42,80286
1636053300,151.41,151.49,151.33,151.44,56829
1636054200,151.46,151.535,151.035,151.15,94605
1636055100,151.15,151.43,150.65,150.96,352217
1636056000,150.96,150.98,150.94,150.94,2700
1636056900,150.94,151.07,150.94,151.07,500
1636111800,151,151,151,151,100
1636115400,150.92,150.92,150.92,150.92,900
1636116300,151.22,151.22,151.22,151.22,100
1636118100,151.53,151.86,151.53,151.78,724
1636119000,151.86,152.19,151.27,151.51,339831
1636119900,151.52,151.73,151.25,151.65,203622
1636120800,151.64,151.77,151.32,151.56,105182
1636121700,151.57,151.61,151.14,151.23,92476
1636122600,151.22,151.32,151.02,151.06,88610
1636123500,151.07,151.16,150.81,151.14,126298
1636124400,151.13,151.23,150.86,151.19,71155
1636125300,151.19,151.32,150.89,150.94,73243
1636126200,150.95,151.09,150.91,151.03,59106
1636127100,151.02,151.1,150.86,150.91,65028
1636128000,150.91,151.06,150.88,150.95,54792
1636128900,150.945,151,150.87,150.94,49059
1636129800,150.93,150.98,150.57,150.62,101504
1636130700,150.62,150.82,150.53,150.81,61715
1636131600,150.82,150.87,150.45,150.55,72615
1636132500,150.52,150.65,150.06,150.1,81536
1636133400,150.08,150.49,150.08,150.36,72789
1636134300,150.35,150.56,150.2,150.56,46290
1636135200,150.53,150.68,150.41,150.49,73413
1636136100,150.47,150.53,150.2,150.45,87190
1636137000,150.45,150.46,150.22,150.42,53273
1636137900,150.44,150.62,150.41,150.62,54160
1636138800,150.63,150.78,150.35,150.78,87269
1636139700,150.78,150.88,150.68,150.81,87832
1636140600,150.82,151.46,150.82,151.25,182585
1636141500,151.23,151.38,150.96,151.26,367440
1636142400,150.91,151.06,150.91,151.04,6585
1636145100,151.02,151.25,151.02,151.25,1909
1636146900,151.12,151.12,151.12,151.12,100
1636372800,151.31,151.31,151.31,151.31,100
1636373700,151.53,151.53,151.53,151.53,175
1636375500,151.32,151.32,151.32,151.32,500
1636377300,151.36,151.36,151.36,151.36,100
1636378200,151.35,151.35,151.27,151.27,353
1636379100,151.18,151.18,151.18,151.18,100
1636380000,151.18,151.29,151.18,151.29,1085
1636380900,151.41,151.65,151.41,151.65,1900
1636381800,151.41,151.52,150.7,150.8,304554
1636382700,150.81,151.1,150.74,150.98,175851
1636383600,150.97,151.44,150.88,151.16,171973
1636384500,151.16,151.3,151.03,151.03,115696
1636385400,151.01,151.09,150.73,150.88,86938
1636386300,150.89,150.95,150.77,150.77,75183
1636387200,150.77,150.88,150.56,150.64,82791
1636388100,150.65,150.79,150.52,150.67,80744
1636389000,150.66,150.69,150.48,150.55,45624
1636389900,150.55,150.61,150.35,150.41,68045
1636390800,150.4,150.42,150.17,150.39,55729
1636391700,150.39,150.43,150.21,150.43,57480
1636392600,150.485,150.55,150.34,150.47,37710
1636393500,150.51,150.6,150.43,150.58,36061
1636394400,150.59,150.865,150.54,150.74,47961
1636395300,150.73,151.01,150.705,150.88,55539
1636396200,150.88,150.95,150.77,150.84,60293
1636397100,150.84,150.85,150.59,150.6,35169
1636398000,150.58,150.73,150.54,150.68,52278
1636398900,150.675,150.79,150.52,150.52,50838
1636399800,150.53,150.65,150.51,150.64,48889
1636400700,150.63,150.67,150.54,150.67,38107
1636401600,150.66,150.66,150.48,150.58,38963
1636402500,150.58,150.6,150.42,150.47,58054
1636403400,150.48,150.63,150.34,150.39,98829
1636404300,150.38,150.57,150.31,150.46,265922
1636405200,150.4,150.4,150.37,150.37,223
1636406100,150.35,150.35,150.35,150.35,400
1636408800,150.39,150.39,150.39,150.39,300
1636418700,150.01,150.01,150.01,150.01,100
1636460100,150.06,150.06,150.06,150.06,100
1636461900,149.92,150,149.92,150,2348
1636463700,150.08,150.14,150.08,150.14,412
1636464600,150.15,150.2,150.15,150.2,3923
1636465500,150.31,150.31,150.31,150.31,940
1636466400,150.29,150.4,150.28,150.28,300
1636467300,150.41,150.41,150.16,150.16,713
1636468200,150.25,151.38,150.08,151.26,303763
1636469100,151.25,151.42,150.71,150.95,398876
1636470000,150.95,150.95,150.16,150.29,220283
1636470900,150.23,150.94,150.17,150.63,225335
1636471800,150.62,151.2,150.6,151.07,133900
1636472700,151.07,151.08,150.8,150.86,110252
1636473600,150.89,151.16,150.65,150.88,84370
1636474500,150.88,150.98,150.58,150.63,72551
1636475400,150.61,151.04,150.61,151.04,99301
1636476300,151.04,151.05,150.75,150.86,91884
1636477200,150.88,150.89,150.5,150.76,91641
1636478100,150.76,150.82,150.6,150.7,68939
1636479000,150.69,151.04,150.66,151.02,97677
1636479900,151.02,151.24,150.99,151,90736
1636480800,151.03,151.14,151.01,151.02,65628
1636481700,151.02,151.21,150.96,151.01,42506
1636482600,151,151.14,150.9,150.97,50383
1636483500,150.98,151.03,150.55,150.71,74722
1636484400,150.7,150.83,150.62,150.71,76772
1636485300,150.7,150.82,150.62,150.7,60090
1636486200,150.7,150.95,150.66,150.88,60731
1636487100,150.89,150.97,150.79,150.82,49911
1636488000,150.82,150.89,150.66,150.7,68552
1636488900,150.715,150.77,150.63,150.67,92360
1636489800,150.68,151.02,150.655,150.89,139273
1636490700,150.89,151.12,150.69,150.85,340772
1636494300,150.65,150.65,150.34,150.34,200
1636545600,150.15,150.15,150.15,150.15,1100
1636547400,150.2,150.24,150.2,150.24,200
1636548300,150.31,150.31,150.31,150.31,100
1636549200,150.37,150.37,150.37,150.37,100
1636550100,150.36,150.36,150.35,150.35,200
1636551000,150.31,150.31,150.1,150.19,3145
1636551900,150.12,150.12,150.04,150.04,490
1636552800,150.3,150.3,150.24,150.24,400
1636553700,150.02,150.11,149.83,150.1,5827
1636554600,150.02,150.13,147.95,148.77,616065
1636555500,148.77,149.25,148.19,149.03,257087
1636556400,149.02,149.39,148.86,149.36,183083
1636557300,149.36,149.61,148.96,149.01,168112
1636558200,149.02,149.16,148.74,148.82,121934
1636559100,148.83,149.1,148.83,148.97,75094
1636560000,148.97,149.07,148.8,148.93,73965
1636560900,148.93,148.99,148.76,148.86,70911
1636561800,148.87,148.94,148.69,148.74,76613
1636562700,148.73,149.08,148.73,149.05,54297
1636563600,149.07,149.16,149.02,149.08,56926
1636564500,149.08,149.1,148.94,148.98,49843
1636565400,148.98,149.07,148.83,148.87,54994
1636566300,148.88,149.17,148.8,149.17,64979
1636567200,149.18,149.18,148.56,148.57,157908
1636568100,148.57,148.9,148.53,148.82,102302
1636569000,148.82,148.9,148.6,148.63,58864
1636569900,148.65,148.66,148.34,148.53,120672
1636570800,148.49,148.53,148.3,148.32,101613
1636571700,148.31,148.49,148.18,148.19,120178
1636572600,148.17,148.35,147.935,147.96,195642
